Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2012-06-29,2013-03-01,245,124.4,137.41,1826409.89
2012-08-17,2013-03-01,196,153.03,168.01,269121.56
2012-09-14,2013-03-22,189,60.38,63.28,311494.91
2012-09-21,2013-02-01,133,576.06,557.2,-317734.8
2012-09-28,2013-02-22,147,245.72,241.25,-173225.38
2012-10-05,2013-03-15,161,1246.74,1263.81,16589.88
2012-11-30,2013-04-05,126,249.31,232.24,-1200553.52
2012-12-28,2013-02-22,56,201.36,185.84,-175590.27
2013-01-04,2013-03-01,56,179.62,168.89,-571531.43
2013-02-01,2013-08-23,203,127.82,129.44,65718.83
2013-02-08,2013-04-26,77,521.82,502.29,-141680.82
2013-03-01,2013-04-12,42,255.51,201.39,-18899782.38
2013-04-26,2013-07-19,84,70.63,68.53,-262689.96
2013-04-26,2013-06-14,49,1503.2,1360.35,-192760.74
2013-05-10,2013-07-26,77,13.17,11.93,-2358663.62
2013-05-17,2013-06-14,28,195.7,178.23,-298413.16
2013-05-17,2013-06-21,35,158.69,141.39,-2297600.25
2013-05-17,2013-11-08,175,465.76,473.99,14870.68
2013-05-17,2013-06-07,21,289.98,260.33,-1624936.62
2013-07-12,2014-03-28,259,595.78,782.67,986879.21
2013-07-19,2013-08-16,28,194.83,174.37,-909180.53
2013-08-02,2014-03-21,231,266.9,294.99,6852643.65
2013-11-01,2013-12-13,42,308.87,269.88,-953799.06
2013-12-06,2014-02-28,84,29.0,23.59,-4430.4
2013-12-20,2016-01-08,749,1635.31,3848.18,2339904.85
2013-12-20,2016-11-11,1057,14.22,82.85,102870084.59
2014-02-28,2014-10-03,217,614.34,808.77,2523084.13
2014-03-14,2015-05-08,420,162.96,220.42,6211401.17
2014-03-14,2015-03-13,364,196.48,275.58,1140179.8
2014-03-28,2014-10-17,203,2047.25,2218.1,484581.11
2014-04-04,2014-09-26,175,199.16,198.79,-50847.61
2014-04-11,2015-06-12,427,79.92,130.17,4550470.08
2014-04-25,2014-10-03,161,29.29,31.42,1265.17
2014-04-25,2015-08-21,483,293.68,512.59,10017971.68
2014-05-16,2015-03-13,301,210.42,245.81,320361.83
2014-05-16,2015-03-27,315,291.28,375.19,2064371.36
