date,nav
2008-12-05,23502366.320117723
2008-12-12,23502366.320117723
2008-12-19,23502366.320117723
2008-12-26,23376933.073028717
2009-01-02,23336340.404724274
2009-01-09,23476650.175384674
2009-01-16,23365461.081146393
2009-01-23,23330163.337005768
2009-01-30,23461207.41232315
2009-02-06,23451941.341919098
2009-02-13,23440029.215912018
2009-02-20,23308570.849756014
2009-02-27,23377298.874200594
2009-03-06,23108583.116549075
2009-03-13,23191344.903963625
2009-03-20,23282005.256441653
2009-03-27,23515617.59164673
2009-04-03,23362132.754915774
2009-04-10,23454549.568880618
2009-04-17,23564144.914949954
2009-04-24,23578563.142082293
2009-05-01,23667628.187783692
2009-05-08,23765564.61506984
2009-05-15,23880761.50619838
2009-05-22,24515839.92742488
2009-05-29,25168958.943552133
2009-06-05,25915692.25402653
2009-06-12,25677134.410795327
2009-06-19,25029902.324957013
2009-06-26,25141850.9812566
2009-07-03,25747668.08029377
2009-07-10,25036379.155401345
2009-07-17,26564850.100233193
2009-07-24,28032137.841463204
2009-07-31,28371741.87058079
2009-08-07,27047247.03693592
2009-08-14,27401352.155180093
2009-08-21,26867003.862310525
2009-08-28,27323649.79261982
2009-09-04,28107874.62128651
2009-09-11,27767979.58961689
2009-09-18,28790701.968032476
2009-09-25,28993493.014148816
2009-10-02,29997106.097410306
2009-10-09,29311890.10323344
2009-10-16,30560961.356790643
2009-10-23,29757221.76195346
2009-10-30,28850912.471115034
2009-11-06,29233084.473273158
2009-11-13,30180287.50187385
2009-11-20,30849565.460904002
2009-11-27,30980389.187682033
2009-12-04,31781584.126553416
2009-12-11,31470059.779293478
2009-12-18,31643492.694051243
2009-12-25,31975931.74307201
2010-01-01,31841928.697429158
2010-01-08,31176669.36065683
2010-01-15,30866171.11425432
2010-01-22,29700049.743816048
2010-01-29,28881201.20444469
2010-02-05,28921620.71384792
2010-02-12,29061396.25189247
2010-02-19,29495103.27881279
2010-02-26,29508839.047844313
2010-03-05,30294660.821358413
2010-03-12,30161576.04842636
2010-03-19,30725283.313168257
2010-03-26,31098174.207169265
2010-04-02,31016152.89951393
2010-04-09,31433538.908086337
2010-04-16,31945614.60510683
2010-04-23,32951270.030954838
2010-04-30,34019173.26117945
2010-05-07,33493881.399281025
2010-05-14,34958562.85124117
2010-05-21,33658403.70472978
2010-05-28,33801438.6637546
2010-06-04,34669553.22945513
2010-06-11,35141873.67363848
2010-06-18,34844446.09326281
2010-06-25,35505491.97784914
2010-07-02,35561934.32931246
2010-07-09,37054671.5274135
2010-07-16,38352441.26454653
2010-07-23,38228458.64816393
2010-07-30,38595482.33891024
2010-08-06,39284729.36740984
2010-08-13,40531899.59414019
2010-08-20,41266523.158806935
2010-08-27,41564039.126523145
2010-09-03,42987894.730832234
2010-09-10,44427940.77601732
2010-09-17,45925811.117901936
2010-09-24,45609145.39776339
2010-10-01,46342500.728104725
2010-10-08,46528858.131894246
2010-10-15,45771754.85449709
2010-10-22,45310526.35918917
2010-10-29,45659950.238629475
2010-11-05,47817035.753686085
2010-11-12,46397426.96841505
2010-11-19,44694726.96527689
2010-11-26,43361271.82375696
2010-12-03,44314082.24748972
2010-12-10,42999694.39981073
2010-12-17,43247189.79735941
2010-12-24,43912122.890117586
2010-12-31,44776083.83884424
2011-01-07,43338849.32878344
2011-01-14,42467982.76577128
2011-01-21,42830459.224608935
2011-01-28,41800936.48113176
2011-02-04,40991111.279270574
2011-02-11,40148829.96765223
2011-02-18,40200213.84063807
2011-02-25,39867479.826447085
2011-03-04,40043434.94952448
2011-03-11,39941030.243422866
2011-03-18,39278107.11276003
2011-03-25,39691475.85894533
2011-04-01,39728077.72564455
2011-04-08,40001979.95081301
2011-04-15,40057459.92310305
2011-04-22,40686803.48707415
2011-04-29,40892828.21689585
2011-05-06,39813321.96558359
2011-05-13,40250006.39276865
2011-05-20,40503550.27204111
2011-05-27,40582703.90635374
2011-06-03,41417545.83106688
2011-06-10,41904287.06158117
2011-06-17,41284225.15859968
2011-06-24,41145987.6316374
2011-07-01,42320109.17475874
2011-07-08,42263567.274339624
2011-07-15,42559538.09318727
2011-07-22,42734175.401231706
2011-07-29,42660675.33494753
2011-08-05,40716694.28291312
2011-08-12,40491629.98527518
2011-08-19,40053878.97632781
2011-08-26,40604045.94630339
2011-09-02,41259216.87338164
2011-09-09,41246845.20533659
2011-09-16,40776404.051142715
2011-09-23,40422772.63821007
2011-09-30,40410611.385721974
2011-10-07,39802033.631274894
2011-10-14,40238384.04303332
2011-10-21,40179988.136050895
2011-10-28,41359053.821414664
2011-11-04,42164905.94932793
2011-11-11,42115113.20609673
2011-11-18,41130015.516792
2011-11-25,39807958.376574025
2011-12-02,40191670.403795704
2011-12-09,39800503.51496373
2011-12-16,39210079.57100743
2011-12-23,39387928.308415115
2011-12-30,39272643.4698531
2012-01-06,39094562.820133865
2012-01-13,39177142.380222976
2012-01-20,39450995.580082595
2012-01-27,39495699.623814285
2012-02-03,39999137.16869496
2012-02-10,40448321.48391707
2012-02-17,40871827.36105182
2012-02-24,40109328.92279942
2012-03-02,40521043.01549752
2012-03-09,40880523.684737235
2012-03-16,41060084.266962126
2012-03-23,41555985.948457785
2012-03-30,42451598.22819335
2012-04-06,42963588.842869356
2012-04-13,43546775.213550165
2012-04-20,44181896.86338575
2012-04-27,43570866.45896156
2012-05-04,42834636.87801845
2012-05-11,41937687.20786865
2012-05-18,41851175.91994024
2012-05-25,41719877.8367549
2012-06-01,41848265.99495277
2012-06-08,41992975.797867864
2012-06-15,42512645.25041017
2012-06-22,42496652.90573337
2012-06-29,43368445.15194108
2012-07-06,43374673.359826826
2012-07-13,43316959.74617746
2012-07-20,43138681.832381226
2012-07-27,43442360.1213967
2012-08-03,44257295.413000815
2012-08-10,45690933.174093
2012-08-17,46141151.2609899
2012-08-24,46527557.119349234
2012-08-31,46109158.49501967
2012-09-07,47055531.78475451
2012-09-14,48105388.88462042
2012-09-21,47430782.00462317
2012-09-28,49292944.235924475
2012-10-05,49685016.03403639
2012-10-12,50479752.57905554
2012-10-19,50873561.653670065
2012-10-26,51552231.45588469
2012-11-02,50716062.47958063
2012-11-09,51306097.34222292
2012-11-16,50187618.22788405
2012-11-23,50895116.34804129
2012-11-30,52735364.0531671
2012-12-07,51953993.16391581
2012-12-14,51898312.704818904
2012-12-21,51720565.1753971
2012-12-28,52482105.09763163
2013-01-04,53036794.47391528
2013-01-11,51728197.22798941
2013-01-18,51764014.13601008
2013-01-25,51522838.876015574
2013-02-01,52286740.76854567
2013-02-08,51031765.86370283
2013-02-15,51402725.4551734
2013-02-22,51633593.47547999
2013-03-01,50842374.66473346
2013-03-08,52331660.403385796
2013-03-15,52314913.87775676
2013-03-22,50293728.40770525
2013-03-29,50367005.669469774
2013-04-05,50243801.99777231
2013-04-12,48706159.007686175
2013-04-19,49030811.10992769
2013-04-26,49673911.324595965
2013-05-03,51761324.64967327
2013-05-10,51950344.65019207
2013-05-17,52839942.17185192
2013-05-24,53116401.62747936
2013-05-31,55502971.49792461
2013-06-07,54437033.74808483
2013-06-14,53642336.66931377
2013-06-21,53074030.198915824
2013-06-28,53424371.49582897
2013-07-05,54910279.861345634
2013-07-12,57400893.69343792
2013-07-19,58497301.92345764
2013-07-26,58291400.18620697
2013-08-02,56585345.18011871
2013-08-09,54189475.33787094
2013-08-16,55132200.28693531
2013-08-23,53561774.063546866
2013-08-30,55443325.03872082
2013-09-06,55270482.390084036
2013-09-13,57450338.79555584
2013-09-20,57681858.98201824
2013-09-27,58702042.61805035
2013-10-04,59862336.150780454
2013-10-11,62210966.65058209
2013-10-18,62044848.974236265
2013-10-25,62389249.23812176
2013-11-01,62843146.73252179
2013-11-08,62658519.008227885
2013-11-15,62186296.4108817
2013-11-22,60893289.96169365
2013-11-29,62935633.79714684
2013-12-06,63595745.19460014
2013-12-13,64123163.081509635
2013-12-20,66339121.66788201
2013-12-27,66568317.869298026
2014-01-03,66563196.90009789
2014-01-10,67641806.37718682
2014-01-17,67966426.0786181
2014-01-24,67783640.55094711
2014-01-31,66729824.83439064
2014-02-07,65677106.77185249
2014-02-14,67325584.14251137
2014-02-21,68664077.93334389
2014-02-28,70485360.54039589
2014-03-07,70212628.79440132
2014-03-14,68832996.86802492
2014-03-21,69632186.67569473
2014-03-28,70221288.63989006
2014-04-04,70637288.41335236
2014-04-11,71121494.39120995
2014-04-18,70763891.37087724
2014-04-25,72332606.60979004
2014-05-02,71856990.29258919
2014-05-09,73838197.56537819
2014-05-16,75069333.12311172
2014-05-23,80452843.19898987
2014-05-30,78425234.5656929
2014-06-06,82475057.77295846
2014-06-13,81152071.36403549
2014-06-20,80768163.05097091
2014-06-27,82086489.64868248
2014-07-04,88568704.21806037
2014-07-11,84274225.9075669
2014-07-18,87888746.83073127
2014-07-25,87567230.62690628
2014-08-01,86605939.31000221
2014-08-08,86702221.62194717
2014-08-15,92696853.4424237
2014-08-22,95405882.52832878
2014-08-29,95758748.06201828
2014-09-05,99545540.84185112
2014-09-12,103552782.2091912
2014-09-19,102725175.94762313
2014-09-26,100615731.9903077
2014-10-03,102265408.39038551
2014-10-10,99237061.93887481
2014-10-17,97399427.87078553
2014-10-24,101254674.46698266
2014-10-31,107092666.85921556
2014-11-07,107668484.40306169
2014-11-14,111892506.08701211
2014-11-21,114149306.14976579
2014-11-28,115507831.893174
2014-12-05,118071612.35149461
2014-12-12,114289403.13122827
2014-12-19,116281098.62552148
2014-12-26,117907993.24834138
2015-01-02,119419389.8093155
2015-01-09,119624770.90908891
2015-01-16,125284070.34539872
2015-01-23,126445357.41165239
2015-01-30,131421949.25230867
2015-02-06,128920154.28391725
2015-02-13,133542005.34393388
2015-02-20,132467327.37911302
2015-02-27,130985989.82986528
2015-03-06,133777106.13430864
2015-03-13,130813197.4186104
2015-03-20,129439430.19071275
2015-03-27,126600603.10873841
2015-04-03,129732182.24404953
2015-04-10,133539198.48707764
2015-04-17,129800794.7116565
2015-04-24,124102919.38530824
2015-05-01,125358516.968667
2015-05-08,128216160.16763878
2015-05-15,136164353.8176632
2015-05-22,137516075.55957985
2015-05-29,137449332.7997471
2015-06-05,133817013.2207531
2015-06-12,133401064.38309336
2015-06-19,141747118.5350442
2015-06-26,144182401.72360086
2015-07-03,148308641.17750025
2015-07-10,147501794.4158761
2015-07-17,150974813.6104638
2015-07-24,148939301.86454552
2015-07-31,150858015.26106805
2015-08-07,156187323.37547463
2015-08-14,154640119.53011793
2015-08-21,152181863.16750655
2015-08-28,143325578.83734953
2015-09-04,140522254.7068678
2015-09-11,141532723.95701748
2015-09-18,140407583.4865547
2015-09-25,138122892.08135068
2015-10-02,140741539.2949432
2015-10-09,140025360.88572538
2015-10-16,140302538.5505699
2015-10-23,141640946.70944944
2015-10-30,142970975.01265684
2015-11-06,140898962.121248
2015-11-13,139531301.1986444
2015-11-20,140748318.66272873
2015-11-27,140795351.87512726
2015-12-04,140693679.9562201
2015-12-11,138791379.50835708
2015-12-18,140660646.03197768
2015-12-25,140995237.8091307
2016-01-01,141876751.22875923
2016-01-08,141590522.85745323
2016-01-15,139108014.282793
2016-01-22,138657368.40334123
2016-01-29,139111513.2732216
2016-02-05,141269812.03424302
2016-02-12,135197519.25432116
