Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2012-04-06,2013-08-09,490,292.09,385.6,1779974.34
2012-05-04,2014-06-06,763,89.55,237.48,2600014.92
2012-06-29,2012-11-02,126,98.63,92.68,-184214.7
2012-07-06,2013-11-22,504,100.68,143.02,1349175.07
2012-07-27,2012-12-21,147,37.46,37.97,6176.86
2012-08-03,2013-02-08,189,320.65,348.83,292756.27
2012-08-03,2013-04-05,245,130.65,165.0,247249.64
2012-09-14,2012-11-09,56,132.8,120.12,-100021.2
2012-11-30,2013-03-01,91,333.92,319.69,-232169.69
2012-12-28,2013-02-08,42,213.04,199.24,-17027.54
2013-01-11,2013-07-12,182,103.94,106.87,60948.39
2013-01-18,2013-03-01,42,75.18,64.6,-385406.53
2013-02-01,2013-03-22,49,139.47,115.43,-133942.98
2013-03-08,2013-04-12,35,71.4,61.53,-2190168.61
2013-04-26,2014-04-18,357,365.39,471.5,1324955.62
2013-04-26,2014-03-14,322,240.26,368.6,6266641.91
2013-05-03,2013-07-26,84,144.68,133.57,-50879.88
2013-05-17,2013-05-31,14,390.02,339.57,-513783.48
2013-05-17,2013-08-23,98,214.05,210.81,-4571.73
2013-07-12,2015-03-27,623,192.45,449.01,1599828.1
2013-08-16,2014-04-25,252,74.25,84.9,1815503.02
2013-08-16,2014-01-31,168,1314.75,1343.89,35008.31
2013-09-06,2013-11-15,70,402.55,371.19,-274695.83
2013-10-25,2014-02-28,126,62.83,55.57,-746995.6
2013-11-01,2014-10-10,343,76.06,101.36,740751.49
2013-11-01,2014-01-24,84,486.88,428.84,-921563.73
2013-11-01,2013-11-29,28,247.56,222.84,-23339.71
2014-02-21,2015-06-05,469,156.69,293.68,496444.31
2014-03-07,2014-10-03,210,114.6,143.71,211654.11
2014-03-28,2015-02-06,315,1537.74,1964.37,565382.51
2014-04-04,2016-01-29,665,77.6,185.1,2978157.27
2014-04-11,2014-10-10,182,117.62,134.56,124456.32
2014-05-09,2014-11-14,189,129.4,146.32,338828.58
2014-05-16,2014-12-12,210,41.21,46.94,95466.69
2014-05-16,2014-10-10,147,67.24,78.57,891726.26
2014-05-23,2015-06-12,385,162.65,226.28,1772444.68
2014-05-30,2014-11-21,175,88.6,79.75,-137087.63
2014-06-20,2015-05-01,315,513.87,691.1,2209947.63
2014-06-27,2015-12-11,532,419.16,1214.72,34220330.05
2014-07-04,2015-04-24,294,413.83,589.99,1278592.46
2014-07-25,2014-12-12,140,283.03,273.74,-157645.78
2014-08-22,2015-05-01,252,252.93,287.88,26543.67
2014-08-29,2015-02-06,161,548.33,566.26,165058.68
2014-10-03,2014-12-12,70,101.61,89.63,-1833889.29
2015-01-16,2015-05-01,105,51.32,49.74,-28737.2
2015-01-30,2015-06-12,133,324.28,327.29,17071.65
2015-02-06,2015-04-17,70,107.06,97.67,-1213798.01
2015-04-10,2015-05-01,21,706.34,615.73,-816429.29
2015-04-10,2015-08-14,126,164.77,159.92,-35108.07
2015-07-03,2015-09-25,84,257.1,247.47,-269905.47
2015-07-17,2015-11-06,112,725.04,678.96,-364279.74
2015-07-31,2015-09-25,56,804.76,735.07,-797111.14
2015-08-14,2015-08-28,14,686.24,612.25,-486553.18
2015-08-14,2015-09-11,28,343.16,304.67,-124781.08
2015-12-25,2016-12-16,357,95.66,146.07,1564787.76
2016-02-05,2016-02-12,7,821.94,781.4,-429642.15
2016-03-25,2016-11-11,231,2083.96,2178.79,106812.4
2016-05-13,2016-11-04,175,862.52,960.84,815183.45
2016-05-27,2017-10-06,497,53.63,74.93,304963.32
2016-06-03,2016-10-14,133,85.29,84.71,-13863.64
2016-06-10,2016-11-11,154,289.93,277.62,-10708.39
2016-06-17,2016-09-23,98,285.07,256.13,-648220.84
2016-06-24,2016-12-23,182,206.79,260.81,1312039.3
2016-07-01,2018-02-09,588,117.06,231.0,1027134.46
2016-07-08,2017-05-05,301,47.52,80.12,4319920.07
2016-07-29,2016-11-25,119,2093.46,1884.84,-47018924.35
2016-08-19,2016-11-18,91,1473.85,1276.84,-7228899.57
2016-09-09,2017-03-31,203,101.24,113.3,345587.68
2016-10-28,2018-02-09,469,290.93,379.36,281260.08
2017-01-13,2017-03-03,49,99.9,92.61,-90170.21
2017-01-13,2017-04-14,91,323.59,310.23,-186468.52
2017-01-13,2018-07-20,553,170.51,280.52,2916138.33
2017-02-03,2018-01-12,343,340.39,503.57,3048407.25
2017-04-14,2017-12-01,231,2431.31,2738.45,48821551.05
2017-04-28,2018-09-21,511,1594.42,2571.83,27320499.6
2017-05-19,2017-11-03,168,2658.48,2768.21,99529.73
2017-07-07,2018-03-09,245,92.06,108.91,1893922.23
2017-07-21,2018-02-09,203,97.89,97.85,-64552.66
2017-07-21,2017-10-27,98,349.4,330.85,-223174.65
